"product_id","brand","technology","resolution","support_HDR","screensize","week_id","sales","RRP","discount","marketing_expense","cost_shifter"
1,"Samsung","OLED","1080p",0,"50-59",1,1745,1399,0.12,3794.73851621151,618.632444388778
2,"Samsung","OLED","4k",1,"30-39",1,1444,1099,0.12,3794.73851621151,571.603490713903
3,"Samsung","OLED","4k",0,"30-39",1,1183,1049,0.18,3794.73851621151,644.61332426035
4,"Samsung","QLED","1080p",1,"60+",1,1474,949,0.13,3794.73851621151,593.305040891529
5,"Samsung","OLED","4k",1,"50-59",1,1647,1299,0.17,3794.73851621151,646.643915015988
6,"Samsung","QLED","4k",0,"40-49",1,1461,999,0.12,3794.73851621151,605.516928983996
7,"Samsung","QLED","4k",1,"40-49",1,1626,1249,0.07,3794.73851621151,665.014691009414
8,"Samsung","QLED","4k",1,"40-49",1,1530,1349,0.15,3794.73851621151,637.88528881416
9,"Samsung","OLED","1080p",0,"60+",1,1706,1349,0.14,3794.73851621151,594.643637330808
10,"Samsung","LCD","1080p",0,"40-49",1,1454,1149,0.2,3794.73851621151,584.894466234192
11,"LG","QLED","4k",1,"40-49",1,892,1299,0.29,1097.85207547247,655.527497638576
12,"LG","QLED","1080p",0,"40-49",1,963,1049,0.1,1097.85207547247,615.365265754209
13,"LG","LCD","4k",0,"50-59",1,805,699,0.21,1097.85207547247,620.593031443677
14,"LG","QLED","4k",0,"60+",1,886,899,0.24,1097.85207547247,527.030834957539
15,"LG","OLED","1080p",1,"60+",1,1047,1249,0.17,1097.85207547247,617.895428249593
16,"LG","LCD","1080p",1,"40-49",1,1002,1099,0.21,1097.85207547247,563.402183167231
17,"LG","OLED","4k",0,"30-39",1,1033,1449,0.3,1097.85207547247,644.133435314851
18,"LG","OLED","4k",1,"40-49",1,846,1149,0.22,1097.85207547247,720.520799634903
19,"LG","LCD","1080p",1,"40-49",1,925,1049,0.31,1097.85207547247,523.454083003586
20,"LG","LCD","4k",0,"40-49",1,1038,1099,0.12,1097.85207547247,674.652297322949
21,"Sony","LCD","4k",0,"50-59",1,1054,949,0.17,1222.253263928,576.32732197764
22,"Sony","LCD","4k",0,"60+",1,1216,1149,0.22,1222.253263928,516.257553066736
23,"Sony","OLED","4k",1,"40-49",1,916,799,0.1,1222.253263928,593.451316599037
24,"Sony","QLED","1080p",1,"50-59",1,1469,1349,0.14,1222.253263928,640.133493876637
25,"Sony","OLED","4k",1,"40-49",1,1281,1349,0.25,1222.253263928,559.880975719205
26,"Sony","QLED","4k",1,"50-59",1,1154,1049,0.31,1222.253263928,587.235635777419
27,"Sony","LCD","4k",0,"60+",1,1240,1349,0.15,1222.253263928,676.280388396564
28,"Sony","QLED","4k",0,"30-39",1,757,849,0.27,1222.253263928,652.647323737289
29,"Sony","OLED","1080p",1,"50-59",1,1260,1399,0.26,1222.253263928,618.030918406321
30,"Sony","QLED","1080p",1,"50-59",1,1229,999,0.17,1222.253263928,532.294692850758
